username,has_profile_pic,followers,following,post_count,follow_ratio,bio_length,contains_link,suspicious_keywords_present,mentions_count,emoji_in_bio,is_verified,digit_count_in_username,label
brahmexh,TRUE,529,675,0,0.78,0,FALSE,FALSE,0,FALSE,FALSE,0,1
negigaurav96,TRUE,418,442,206,0.95,42,FALSE,FALSE,0,TRUE,FALSE,2,1
rupeshrym9,TRUE,80,155,2,0.52,0,FALSE,FALSE,0,FALSE,FALSE,1,1
abdullah_khot_27,TRUE,557,241,26,2.31,83,FALSE,FALSE,0,TRUE,FALSE,2,1
sf_fitness_kalyan,TRUE,98,232,6,0.42,133,TRUE,TRUE,2,TRUE,FALSE,0,1
krupa.raut,TRUE,946,1351,67,0.7,105,FALSE,FALSE,0,FALSE,FALSE,0,1
haider.rehmxn,TRUE,190,424,0,0.45,0,FALSE,FALSE,0,FALSE,FALSE,0,1
12_rajkiran,TRUE,912,1093,1,0.83,67,FALSE,FALSE,0,TRUE,FALSE,2,1
pratgobrrrr,TRUE,323,308,5,1.05,25,FALSE,FALSE,0,FALSE,FALSE,0,1
___prasad_2498,TRUE,408,412,18,0.99,39,FALSE,FALSE,0,TRUE,FALSE,4,1
minipavilion.id,TRUE,15170,4224,9348,3.59,148,TRUE,FALSE,2,TRUE,FALSE,0,1
fitwithprati,TRUE,1310,937,205,1.4,131,FALSE,FALSE,1,TRUE,FALSE,0,1
onesxm,FALSE,1395,868,3,1.61,34,FALSE,FALSE,0,TRUE,FALSE,0,1
womenpower786,TRUE,2387,7474,598,0.32,108,TRUE,FALSE,0,TRUE,FALSE,3,1
iamdinojames008,TRUE,256,3862,1,0.07,6,FALSE,FALSE,0,TRUE,FALSE,3,1
sultan_tanki1,TRUE,310,285,22,1.09,109,FALSE,FALSE,0,TRUE,FALSE,1,1
not_ibrahim2009,TRUE,396,418,0,0.95,91,FALSE,FALSE,0,TRUE,FALSE,4,1
theshashankprasad,TRUE,435,676,3,0.64,56,FALSE,FALSE,0,TRUE,FALSE,0,1
parmjeetsingh1984,TRUE,1801,7500,469,0.24,35,FALSE,FALSE,0,TRUE,FALSE,4,1
its_me_taba,TRUE,184,623,0,0.3,13,FALSE,FALSE,0,FALSE,FALSE,0,1
_bagale.8055,TRUE,636,6644,9,0.1,0,FALSE,FALSE,0,FALSE,FALSE,4,1
smbliv,TRUE,2,5954,0,0,19,FALSE,FALSE,0,TRUE,FALSE,0,1
renshi1719,TRUE,552,3619,19,0.15,0,FALSE,FALSE,0,FALSE,FALSE,4,1
_sanket_sonavane_1011,TRUE,979,2135,49,0.46,6,FALSE,FALSE,0,TRUE,FALSE,4,1
akifakharbe_,TRUE,173,883,0,0.2,15,FALSE,FALSE,0,TRUE,FALSE,0,1
aditya_lawand11,TRUE,263,459,3,0.57,95,FALSE,FALSE,1,TRUE,FALSE,2,1
shifakharbe,TRUE,134,301,2,0.45,0,FALSE,FALSE,0,FALSE,FALSE,0,1
